virtual sampling1 (Uniform distribution)
33,180
2,12,3
4,11,3
4,9,1
5,11,2
6,10,3
7,11,2
7,9,1
10,10,3
10,11,2
10,5,1
10,7,1
10,8,1
11,11,1
11,7,1
11,8,1
11,9,1
12,11,1
12,9,1
14,12,1
14,14,1
15,11,3
15,8,1
16,11,1
16,8,1
16,9,1
17,10,3
20,12,1
20,13,1
22,10,1
25,10,1
25,11,5
25,6,1
25,7,1
26,10,2
26,6,1
26,9,1
27,11,1
27,9,1
28,10,1
29,10,2
29,11,1
29,6,1
29,7,1
30,11,2
30,6,1
31,10,1
31,11,1
31,9,1
32,13,5
35,10,1
35,6,1
35,9,2
37,11,1
37,9,1
38,11,1
41,10,1
42,12,3
42,13,4
42,14,2
42,15,1
43,10,1
43,11,5
43,6,1
43,9,2
44,12,1
45,10,1
45,11,2
45,8,1
46,10,1
46,11,1
46,9,1
47,10,2
47,9,1
48,10,2
48,8,1
49,11,1
49,4,1
49,8,1
49,9,2
51,2,1
51,11,1
51,7,1
51,9,1
53,8,1
54,10,1
54,9,1
55,10,4
55,11,1
55,5,1
55,8,1
55,9,1
56,11,2
60,10,1
60,11,1
61,10,4
61,2,1
61,11,1
61,5,1
61,6,1
61,8,1
61,9,2
62,11,2
62,9,1
64,9,1
65,10,1
65,11,2
65,4,1
65,7,1
65,8,2
65,9,2
66,11,1
66,7,1
68,11,1
68,8,2
69,13,1
69,14,2
69,15,2
73,10,1
73,11,1
74,10,2
74,11,1
74,9,1
75,11,1
76,12,1
76,13,1
77,11,3
77,8,2
77,9,1
78,10,1
78,11,1
78,9,2
82,12,1
82,13,2
82,14,7
82,15,2
83,11,2
83,8,1
83,9,1
84,11,2
85,10,1
85,11,1
86,10,2
86,9,1
88,9,2
89,9,2
90,13,2
90,14,3
90,15,3
91,8,1
92,11,1
93,11,1
97,11,5
97,8,4
97,9,2
98,10,1
98,11,2
99,10,1
99,11,1
101,10,3
101,11,1
101,8,2
102,12,1
102,13,1
102,14,1
104,2,1
104,9,1
106,11,1
106,8,1
106,9,1
108,10,4
109,12,1
109,13,2
109,14,2
111,4,1
112,10,2
112,11,2
112,8,1
113,10,1
113,11,2
113,7,1
114,10,1
119,12,1
119,13,1
119,14,1
121,1,1
121,10,2
121,11,2
121,4,1
121,8,2
121,9,1
122,11,1
124,10,1
124,9,1
125,10,1
125,11,1
127,11,2
127,9,1
130,8,1
133,10,1
133,11,1
133,8,1
134,9,1
136,11,3
136,9,1
137,11,1
139,11,1
139,3,1
139,8,2
141,12,3
141,13,6
141,14,8
141,15,3
142,10,1
142,3,1
142,7,1
143,10,1
143,5,1
144,8,1
148,10,1
148,4,1
148,8,2
149,11,2
150,12,2
150,13,1
150,14,1
154,11,1
155,11,3
156,11,1
156,6,1
156,7,1
156,8,1
158,10,1
158,11,1
158,8,1
159,10,2
159,11,1
159,6,1
159,9,2
160,10,2
160,11,1
160,9,2
161,12,2
161,13,3
161,14,1
162,8,1
163,2,1
163,11,2
164,12,1
164,14,1
165,11,2
165,6,1
165,8,3
165,9,1
166,10,3
166,11,2
166,9,1
167,11,1
168,13,1
168,14,1
169,11,1
169,7,1
169,9,2
171,10,1
171,11,1
171,6,2
171,8,1
171,9,1
173,12,1
176,10,2
176,11,1
176,3,1
176,9,2
-1,-1,-1
