virtual sampling1 (Uniform distribution)
33,180
1,10,2
1,11,1
1,8,1
1,9,1
2,13,1
2,15,1
4,10,5
4,11,2
4,8,1
6,11,7
6,8,1
6,9,1
7,10,4
7,11,7
7,7,1
7,8,3
7,9,5
8,2,1
8,8,1
8,9,2
11,3,1
12,11,1
13,10,7
13,11,5
13,6,1
13,8,1
13,9,3
14,13,1
14,15,1
15,7,1
15,8,1
16,10,3
16,11,4
16,9,1
17,11,1
18,6,1
19,11,2
19,5,1
19,7,1
20,13,2
20,14,2
21,10,4
21,11,2
21,2,1
21,6,1
22,11,2
26,11,2
26,8,1
27,1,1
27,8,2
28,7,1
29,11,1
29,9,1
33,11,2
35,11,1
36,11,1
38,10,5
38,11,1
38,9,1
40,11,1
41,10,1
41,11,2
41,6,1
42,12,1
42,14,1
43,11,2
44,12,2
44,13,1
44,14,1
46,10,1
46,11,1
46,3,1
46,9,1
49,10,1
49,11,1
49,9,2
50,11,1
52,11,2
52,9,1
53,10,2
53,11,4
53,6,1
53,8,1
53,9,2
54,7,1
55,11,2
56,9,1
58,10,1
58,11,1
59,10,1
59,11,2
59,8,2
59,9,2
60,11,3
60,6,1
62,9,1
64,11,1
64,7,1
64,9,2
67,10,1
67,11,1
68,10,1
68,8,1
68,9,1
73,1,1
74,10,1
74,8,1
76,13,1
77,10,1
78,7,1
80,13,1
81,12,1
87,10,7
87,11,2
87,6,2
87,9,1
89,11,3
89,9,1
90,13,2
93,3,1
94,12,1
94,14,2
96,10,2
96,11,2
97,11,2
97,9,1
100,11,2
104,10,1
104,11,2
104,9,2
106,10,3
109,12,4
109,13,3
109,14,3
111,8,1
112,11,3
112,9,1
115,10,1
115,11,2
115,9,1
117,10,1
117,6,1
117,8,1
118,10,1
118,7,1
124,10,1
124,9,1
125,11,1
125,7,1
126,13,1
127,10,2
127,11,2
129,11,1
129,5,1
132,12,2
132,13,1
132,14,1
132,15,1
133,10,1
133,2,1
133,11,1
133,4,1
133,8,2
134,10,2
134,11,4
134,6,1
134,8,2
134,9,3
135,12,1
135,13,1
136,11,3
136,4,1
136,8,3
136,9,1
138,9,1
140,10,1
140,11,1
140,8,1
141,12,2
141,13,1
141,15,3
143,11,1
143,9,1
144,11,1
144,7,1
145,10,4
145,11,1
145,6,1
145,8,2
145,9,1
146,7,1
148,10,1
150,14,2
152,12,1
152,13,1
152,14,2
153,10,1
153,11,2
153,6,1
153,9,2
154,10,1
154,11,3
154,8,1
154,9,1
155,10,1
155,9,1
156,6,1
156,8,1
158,10,4
158,11,3
158,9,1
160,10,1
160,11,2
162,9,1
163,10,1
163,11,1
163,6,1
165,10,1
165,11,1
166,1,2
173,13,1
174,11,2
175,12,2
175,13,1
176,10,1
176,11,2
176,8,1
176,9,1
179,7,1
180,10,1
-1,-1,-1
